"Endpoint","Method","Owner","Decision","RemediationStatus","EvidenceRef","EvidencePath"
"/api/v1/lookups/codesets/{codeSetName}","POST","Application Engineering","Closed","Closed","EV-ENDP-0062","security-compliance/evidence/endpoint/EV-ENDP-0062.md"
"/api/v1/lookups/codesets/{codeSetName}/{codeValueId:int}","POST","Application Engineering","Closed","Closed","EV-ENDP-0063","security-compliance/evidence/endpoint/EV-ENDP-0063.md"
"/api/v1/reports/audit-events/export/csv","GET","Compliance Engineering","Closed","Closed","EV-ENDP-0087","security-compliance/evidence/endpoint/EV-ENDP-0087.md"
"/api/v1/reports/external-provider-health/executive-packet/export/zip","GET","Compliance Engineering","Closed","Closed","EV-ENDP-0064","security-compliance/evidence/endpoint/EV-ENDP-0064.md"
"/api/v1/reports/external-provider-health/governance/export/csv","GET","Compliance Engineering","Closed","Closed","EV-ENDP-0065","security-compliance/evidence/endpoint/EV-ENDP-0065.md"
"/api/v1/reports/external-provider-health/scorecards/export/csv","GET","Compliance Engineering","Closed","Closed","EV-ENDP-0066","security-compliance/evidence/endpoint/EV-ENDP-0066.md"
"/api/v1/reports/external-provider-health/scorecards/export/json","GET","Compliance Engineering","Closed","Closed","EV-ENDP-0067","security-compliance/evidence/endpoint/EV-ENDP-0067.md"
"/api/v1/beds/availability","GET","Platform Engineering","Closed","Closed","EV-ENDP-0099","security-compliance/evidence/endpoint/EV-ENDP-0099.md"
"/api/v1/beds/availability/{locationId:long}","POST","Platform Engineering","Closed","Closed","EV-ENDP-0081","security-compliance/evidence/endpoint/EV-ENDP-0081.md"
"/api/v1/beds/import/availability","POST","Platform Engineering","Closed","Closed","EV-ENDP-0019","security-compliance/evidence/endpoint/EV-ENDP-0019.md"
"/api/v1/beds/import/availability/csv","POST","Platform Engineering","Closed","Closed","EV-ENDP-0020","security-compliance/evidence/endpoint/EV-ENDP-0020.md"
"/api/v1/beds/import/availability/csv/reject-report","POST","Platform Engineering","Closed","Closed","EV-ENDP-0021","security-compliance/evidence/endpoint/EV-ENDP-0021.md"
"/api/v1/beds/import/availability/fhir","POST","Platform Engineering","Closed","Closed","EV-ENDP-0022","security-compliance/evidence/endpoint/EV-ENDP-0022.md"
"/api/v1/beds/import/availability/fhir/adapter-contract","GET","Platform Engineering","Closed","Closed","EV-ENDP-0045","security-compliance/evidence/endpoint/EV-ENDP-0045.md"
"/api/v1/incidents/{incidentId:long}/resources/{incidentResourceRequestId:long}","POST","Platform Engineering","Closed","Closed","EV-ENDP-0056","security-compliance/evidence/endpoint/EV-ENDP-0056.md"
"/api/v1/incidents/{incidentId:long}/resources/evidence/export/csv","GET","Platform Engineering","Closed","Closed","EV-ENDP-0036","security-compliance/evidence/endpoint/EV-ENDP-0036.md"
"/api/v1/incidents/{incidentId:long}/resources/lifecycle-evidence/export/json","GET","Platform Engineering","Closed","Closed","EV-ENDP-0037","security-compliance/evidence/endpoint/EV-ENDP-0037.md"
"/api/v1/incidents/{incidentId:long}/resources/lifecycle-summary","GET","Platform Engineering","Closed","Closed","EV-ENDP-0116","security-compliance/evidence/endpoint/EV-ENDP-0116.md"
"/api/v1/resources/import/inventory","POST","Platform Engineering","Closed","Closed","EV-ENDP-0023","security-compliance/evidence/endpoint/EV-ENDP-0023.md"
"/api/v1/resources/import/inventory/csv","POST","Platform Engineering","Closed","Closed","EV-ENDP-0024","security-compliance/evidence/endpoint/EV-ENDP-0024.md"
"/api/v1/resources/import/inventory/csv/reject-report","POST","Platform Engineering","Closed","Closed","EV-ENDP-0025","security-compliance/evidence/endpoint/EV-ENDP-0025.md"
"/api/v1/resources/inventory/{locationResourceInventoryId:long}","POST","Platform Engineering","Closed","Closed","EV-ENDP-0088","security-compliance/evidence/endpoint/EV-ENDP-0088.md"
"/api/v1/resources/regional-rollups/export/csv","GET","Platform Engineering","Closed","Closed","EV-ENDP-0038","security-compliance/evidence/endpoint/EV-ENDP-0038.md"
"/api/v1/resources/report-presets/{presetScope}","POST","Platform Engineering","Closed","Closed","EV-ENDP-0068","security-compliance/evidence/endpoint/EV-ENDP-0068.md"
"/api/v1/resources/report-presets/{presetScope}/{userReportPresetId:long}","DELETE","Platform Engineering","Closed","Closed","EV-ENDP-0069","security-compliance/evidence/endpoint/EV-ENDP-0069.md"
"/api/v1/admin/data/synthetic/preview","GET","Security Engineering","Closed","Closed","EV-ENDP-0039","security-compliance/evidence/endpoint/EV-ENDP-0039.md"
"/api/v1/admin/data/synthetic/reset","POST","Security Engineering","Closed","Closed","EV-ENDP-0005","security-compliance/evidence/endpoint/EV-ENDP-0005.md"
"/api/v1/admin/data/synthetic/seed","POST","Security Engineering","Closed","Closed","EV-ENDP-0006","security-compliance/evidence/endpoint/EV-ENDP-0006.md"
"/api/v1/admin/external-provider/executive-packet/automation/run","POST","Security Engineering","Closed","Closed","EV-ENDP-0007","security-compliance/evidence/endpoint/EV-ENDP-0007.md"
"/api/v1/admin/external-provider/executive-packet/automation/status","GET","Security Engineering","Closed","Closed","EV-ENDP-0040","security-compliance/evidence/endpoint/EV-ENDP-0040.md"
"/api/v1/admin/ics-positions","POST","Security Engineering","Closed","Closed","EV-ENDP-0008","security-compliance/evidence/endpoint/EV-ENDP-0008.md"
"/api/v1/admin/ics-positions","GET","Security Engineering","Closed","Closed","EV-ENDP-0041","security-compliance/evidence/endpoint/EV-ENDP-0041.md"
"/api/v1/admin/ics-positions/{icsPositionId:int}","POST","Security Engineering","Closed","Closed","EV-ENDP-0009","security-compliance/evidence/endpoint/EV-ENDP-0009.md"
"/api/v1/admin/ics-positions/{icsPositionId:int}/nims-standard","POST","Security Engineering","Closed","Closed","EV-ENDP-0010","security-compliance/evidence/endpoint/EV-ENDP-0010.md"
"/api/v1/admin/locations","GET","Security Engineering","Closed","Closed","EV-ENDP-0042","security-compliance/evidence/endpoint/EV-ENDP-0042.md"
"/api/v1/admin/locations/{locationId:long}/active","POST","Security Engineering","Closed","Closed","EV-ENDP-0011","security-compliance/evidence/endpoint/EV-ENDP-0011.md"
"/api/v1/admin/locations/{locationId:long}/geo","POST","Security Engineering","Closed","Closed","EV-ENDP-0012","security-compliance/evidence/endpoint/EV-ENDP-0012.md"
"/api/v1/admin/locations/{locationId:long}/geocode","POST","Security Engineering","Closed","Closed","EV-ENDP-0013","security-compliance/evidence/endpoint/EV-ENDP-0013.md"
"/api/v1/admin/sessions","GET","Security Engineering","Closed","Closed","EV-ENDP-0043","security-compliance/evidence/endpoint/EV-ENDP-0043.md"
"/api/v1/admin/sessions/{userSessionId:long}/impersonate/start","POST","Security Engineering","Closed","Closed","EV-ENDP-0014","security-compliance/evidence/endpoint/EV-ENDP-0014.md"
"/api/v1/admin/sessions/{userSessionId:long}/impersonate/stop","POST","Security Engineering","Closed","Closed","EV-ENDP-0015","security-compliance/evidence/endpoint/EV-ENDP-0015.md"
"/api/v1/admin/sessions/{userSessionId:long}/terminate","POST","Security Engineering","Closed","Closed","EV-ENDP-0016","security-compliance/evidence/endpoint/EV-ENDP-0016.md"
"/api/v1/admin/sessions/compliance-evidence/export/json","GET","Security Engineering","Closed","Closed","EV-ENDP-0004","security-compliance/evidence/endpoint/EV-ENDP-0004.md"
"/api/v1/admin/streaming/start","POST","Security Engineering","Closed","Closed","EV-ENDP-0001","security-compliance/evidence/endpoint/EV-ENDP-0001.md"
"/api/v1/admin/streaming/status","GET","Security Engineering","Closed","Closed","EV-ENDP-0026","security-compliance/evidence/endpoint/EV-ENDP-0026.md"
"/api/v1/admin/streaming/stop","POST","Security Engineering","Closed","Closed","EV-ENDP-0002","security-compliance/evidence/endpoint/EV-ENDP-0002.md"
"/api/v1/admin/streaming/upload","POST","Security Engineering","Closed","Closed","EV-ENDP-0003","security-compliance/evidence/endpoint/EV-ENDP-0003.md"
"/api/v1/admin/users","POST","Security Engineering","Closed","Closed","EV-ENDP-0017","security-compliance/evidence/endpoint/EV-ENDP-0017.md"
"/api/v1/admin/users","GET","Security Engineering","Closed","Closed","EV-ENDP-0044","security-compliance/evidence/endpoint/EV-ENDP-0044.md"
"/api/v1/admin/users/{userId:long}/active","POST","Security Engineering","Closed","Closed","EV-ENDP-0018","security-compliance/evidence/endpoint/EV-ENDP-0018.md"
"/api/v1/auth/audit/login","POST","Security Engineering","Closed","Closed","EV-ENDP-0029","security-compliance/evidence/endpoint/EV-ENDP-0029.md"
"/api/v1/auth/audit/logout","POST","Security Engineering","Closed","Closed","EV-ENDP-0030","security-compliance/evidence/endpoint/EV-ENDP-0030.md"
"/api/v1/auth/me","GET","Security Engineering","Closed","Closed","EV-ENDP-0080","security-compliance/evidence/endpoint/EV-ENDP-0080.md"
"/api/v1/auth/token-debug","GET","Security Engineering","Closed","Closed","EV-ENDP-0031","security-compliance/evidence/endpoint/EV-ENDP-0031.md"
