"EvidenceId","ControlId","Domain","ArtifactName","ArtifactLocation","Owner","CollectedUtc","ValidUntilUtc","ReviewCadence","Status","Notes"
"EV-ENDP-0013","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/locations/{locationId:long}/geocode","security-compliance/evidence/endpoint/EV-ENDP-0013.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0014","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/sessions/{userSessionId:long}/impersonate/start","security-compliance/evidence/endpoint/EV-ENDP-0014.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0015","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/sessions/{userSessionId:long}/impersonate/stop","security-compliance/evidence/endpoint/EV-ENDP-0015.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0016","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/sessions/{userSessionId:long}/terminate","security-compliance/evidence/endpoint/EV-ENDP-0016.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0017","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/users","security-compliance/evidence/endpoint/EV-ENDP-0017.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0018","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/users/{userId:long}/active","security-compliance/evidence/endpoint/EV-ENDP-0018.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0019","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/beds/import/availability","security-compliance/evidence/endpoint/EV-ENDP-0019.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0020","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/beds/import/availability/csv","security-compliance/evidence/endpoint/EV-ENDP-0020.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0021","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/beds/import/availability/csv/reject-report","security-compliance/evidence/endpoint/EV-ENDP-0021.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0022","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/beds/import/availability/fhir","security-compliance/evidence/endpoint/EV-ENDP-0022.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0023","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/resources/import/inventory","security-compliance/evidence/endpoint/EV-ENDP-0023.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0024","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/resources/import/inventory/csv","security-compliance/evidence/endpoint/EV-ENDP-0024.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0025","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/resources/import/inventory/csv/reject-report","security-compliance/evidence/endpoint/EV-ENDP-0025.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0026","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/admin/streaming/status","security-compliance/evidence/endpoint/EV-ENDP-0026.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0027","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/agent/personalization","security-compliance/evidence/endpoint/EV-ENDP-0027.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0028","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - PUT /api/v1/agent/personalization/policy","security-compliance/evidence/endpoint/EV-ENDP-0028.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0029","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/auth/audit/login","security-compliance/evidence/endpoint/EV-ENDP-0029.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0030","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/auth/audit/logout","security-compliance/evidence/endpoint/EV-ENDP-0030.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0031","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/auth/token-debug","security-compliance/evidence/endpoint/EV-ENDP-0031.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0032","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/incidents/{incidentId:long}/after-action/evidence/export/json","security-compliance/evidence/endpoint/EV-ENDP-0032.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0033","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/incidents/{incidentId:long}/communications/evidence/export/csv","security-compliance/evidence/endpoint/EV-ENDP-0033.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0034","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/incidents/{incidentId:long}/iap-packet/export/json","security-compliance/evidence/endpoint/EV-ENDP-0034.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0035","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/incidents/{incidentId:long}/iap-packet/export/print","security-compliance/evidence/endpoint/EV-ENDP-0035.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0036","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/incidents/{incidentId:long}/resources/evidence/export/csv","security-compliance/evidence/endpoint/EV-ENDP-0036.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0037","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/incidents/{incidentId:long}/resources/lifecycle-evidence/export/json","security-compliance/evidence/endpoint/EV-ENDP-0037.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0038","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/resources/regional-rollups/export/csv","security-compliance/evidence/endpoint/EV-ENDP-0038.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0039","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/admin/data/synthetic/preview","security-compliance/evidence/endpoint/EV-ENDP-0039.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0040","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/admin/external-provider/executive-packet/automation/status","security-compliance/evidence/endpoint/EV-ENDP-0040.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0041","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/admin/ics-positions","security-compliance/evidence/endpoint/EV-ENDP-0041.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0042","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/admin/locations","security-compliance/evidence/endpoint/EV-ENDP-0042.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0043","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/admin/sessions","security-compliance/evidence/endpoint/EV-ENDP-0043.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0044","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/admin/users","security-compliance/evidence/endpoint/EV-ENDP-0044.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0045","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/beds/import/availability/fhir/adapter-contract","security-compliance/evidence/endpoint/EV-ENDP-0045.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0046","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - PUT /api/v1/incidents/{incidentId:long}/command-assignments","security-compliance/evidence/endpoint/EV-ENDP-0046.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0047","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/communications","security-compliance/evidence/endpoint/EV-ENDP-0047.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0048","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/communications/{incidentCommunicationId:long}","security-compliance/evidence/endpoint/EV-ENDP-0048.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0049","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/objectives","security-compliance/evidence/endpoint/EV-ENDP-0049.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0050","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/objectives/{incidentObjectiveId:long}","security-compliance/evidence/endpoint/EV-ENDP-0050.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0051","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/operational-periods","security-compliance/evidence/endpoint/EV-ENDP-0051.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0052","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}","security-compliance/evidence/endpoint/EV-ENDP-0052.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0053","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}/approve","security-compliance/evidence/endpoint/EV-ENDP-0053.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0054","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}/reopen","security-compliance/evidence/endpoint/EV-ENDP-0054.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0055","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/resources","security-compliance/evidence/endpoint/EV-ENDP-0055.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0056","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/resources/{incidentResourceRequestId:long}","security-compliance/evidence/endpoint/EV-ENDP-0056.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0057","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/situation-reports","security-compliance/evidence/endpoint/EV-ENDP-0057.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0058","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/tasks","security-compliance/evidence/endpoint/EV-ENDP-0058.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0059","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/tasks/{incidentTaskId:long}/assignment","security-compliance/evidence/endpoint/EV-ENDP-0059.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0060","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/tasks/{incidentTaskId:long}/status","security-compliance/evidence/endpoint/EV-ENDP-0060.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0061","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/timeline","security-compliance/evidence/endpoint/EV-ENDP-0061.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0062","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/lookups/codesets/{codeSetName}","security-compliance/evidence/endpoint/EV-ENDP-0062.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0063","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/lookups/codesets/{codeSetName}/{codeValueId:int}","security-compliance/evidence/endpoint/EV-ENDP-0063.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0064","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/reports/external-provider-health/executive-packet/export/zip","security-compliance/evidence/endpoint/EV-ENDP-0064.md","Compliance Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0065","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/reports/external-provider-health/governance/export/csv","security-compliance/evidence/endpoint/EV-ENDP-0065.md","Compliance Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0066","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/reports/external-provider-health/scorecards/export/csv","security-compliance/evidence/endpoint/EV-ENDP-0066.md","Compliance Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0067","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/reports/external-provider-health/scorecards/export/json","security-compliance/evidence/endpoint/EV-ENDP-0067.md","Compliance Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0068","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/resources/report-presets/{presetScope}","security-compliance/evidence/endpoint/EV-ENDP-0068.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0069","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - DELETE /api/v1/resources/report-presets/{presetScope}/{userReportPresetId:long}","security-compliance/evidence/endpoint/EV-ENDP-0069.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=In Review"
"EV-ENDP-0070","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/agent/analytics/events","security-compliance/evidence/endpoint/EV-ENDP-0070.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0071","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/agent/chat/completions","security-compliance/evidence/endpoint/EV-ENDP-0071.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0072","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/alerts/","security-compliance/evidence/endpoint/EV-ENDP-0072.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0073","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - DELETE /api/v1/alerts/","security-compliance/evidence/endpoint/EV-ENDP-0073.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0074","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - DELETE /api/v1/alerts/{alertId:long}","security-compliance/evidence/endpoint/EV-ENDP-0074.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0075","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/alerts/{alertId:long}/acknowledge","security-compliance/evidence/endpoint/EV-ENDP-0075.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0076","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/alerts/{notificationId:long}/escalate","security-compliance/evidence/endpoint/EV-ENDP-0076.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0077","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/alerts/{notificationId:long}/recipients/{notificationRecipientId:long}/acknowledge","security-compliance/evidence/endpoint/EV-ENDP-0077.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0078","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/alerts/{notificationId:long}/recipients/{notificationRecipientId:long}/status","security-compliance/evidence/endpoint/EV-ENDP-0078.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0079","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/alerts/dispatch","security-compliance/evidence/endpoint/EV-ENDP-0079.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0080","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/auth/me","security-compliance/evidence/endpoint/EV-ENDP-0080.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0081","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/beds/availability/{locationId:long}","security-compliance/evidence/endpoint/EV-ENDP-0081.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0082","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/","security-compliance/evidence/endpoint/EV-ENDP-0082.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0083","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}","security-compliance/evidence/endpoint/EV-ENDP-0083.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0084","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/activate","security-compliance/evidence/endpoint/EV-ENDP-0084.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0085","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/incidents/{incidentId:long}/close","security-compliance/evidence/endpoint/EV-ENDP-0085.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0086","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - DELETE /api/v1/incidents/{incidentId:long}/command-assignments/{icsPositionId:int}","security-compliance/evidence/endpoint/EV-ENDP-0086.md","Application Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0087","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/reports/audit-events/export/csv","security-compliance/evidence/endpoint/EV-ENDP-0087.md","Compliance Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
"EV-ENDP-0088","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/resources/inventory/{locationResourceInventoryId:long}","security-compliance/evidence/endpoint/EV-ENDP-0088.md","Platform Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Pending"
