"Endpoint","Method","DataClasses","AuthorizationPolicy","IncludedSensitiveFields","ExcludedSensitiveFields","RedactionVerified","AuditCoverageVerified","Reviewer","ReviewDateUtc","Decision","RiskTier","RiskScore","Owner","DueDateUtc","RemediationStatus","EvidenceRef","Notes"
"/api/v1/auth/audit/logout","POST","Sensitive","RequireAuthorization()","<to-validate>","<to-validate>","Partial","Yes","Auto-Prioritized","2026-07-14","In Review","Medium","6","Security Engineering","2026-07-28","Open-Review","EV-ENDP-0030","RiskTier=Medium; RiskScore=6; MatrixStatus=In Progress; Source line 1618 in Program.cs"
"/api/v1/auth/token-debug","GET","Sensitive","RequireAuthorization()","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","6","Security Engineering","2026-07-28","Open-Review","EV-ENDP-0031","RiskTier=Medium; RiskScore=6; MatrixStatus=Pending; Source line 1640 in Program.cs"
"/api/v1/admin/data/synthetic/preview","GET","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","5","Security Engineering","2026-07-28","Open-Review","EV-ENDP-0039","RiskTier=Medium; RiskScore=5; MatrixStatus=Pending; Source line 5756 in Program.cs"
"/api/v1/admin/external-provider/executive-packet/automation/status","GET","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","5","Security Engineering","2026-07-28","Open-Review","EV-ENDP-0040","RiskTier=Medium; RiskScore=5; MatrixStatus=Pending; Source line 5332 in Program.cs"
"/api/v1/admin/ics-positions","GET","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","5","Security Engineering","2026-07-28","Open-Review","EV-ENDP-0041","RiskTier=Medium; RiskScore=5; MatrixStatus=Pending; Source line 6173 in Program.cs"
"/api/v1/admin/locations","GET","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","5","Security Engineering","2026-07-28","Open-Review","EV-ENDP-0042","RiskTier=Medium; RiskScore=5; MatrixStatus=Pending; Source line 5977 in Program.cs"
"/api/v1/admin/sessions","GET","Sensitive","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","5","Security Engineering","2026-07-28","Open-Review","EV-ENDP-0043","RiskTier=Medium; RiskScore=5; MatrixStatus=Pending; Source line 6378 in Program.cs"
"/api/v1/admin/users","GET","Sensitive","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","5","Security Engineering","2026-07-28","Open-Review","EV-ENDP-0044","RiskTier=Medium; RiskScore=5; MatrixStatus=Pending; Source line 5840 in Program.cs"
"/api/v1/auth/me","GET","Sensitive","RequireAuthorization()","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Pending","Low","4","Security Engineering","2026-08-04","Open-Queued","<EV-ID>","RiskTier=Low; RiskScore=4; MatrixStatus=Pending; Source line 1567 in Program.cs"
"/api/v1/admin/streaming/start","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","10","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0001","RiskTier=High; RiskScore=10; MatrixStatus=Pending; Source line 5277 in Program.cs"
"/api/v1/admin/streaming/stop","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","10","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0002","RiskTier=High; RiskScore=10; MatrixStatus=Pending; Source line 5308 in Program.cs"
"/api/v1/admin/streaming/upload","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","10","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0003","RiskTier=High; RiskScore=10; MatrixStatus=Pending; Source line 5384 in Program.cs"
